Time,SurfWaterMass,EruptionRate,TMan,MagMom
3.18,1.240412e-05,1328119000.0,2335.082295,0.0
3.19,1.237859e-05,1322654000.0,2334.942968,0.0
3.2,1.23534e-05,1317233000.0,2334.804386,0.0
3.21,1.232856e-05,1311853000.0,2334.666518,0.0
3.22,1.230407e-05,1306516000.0,2334.529338,0.0
3.23,1.227994e-05,1301217000.0,2334.392821,0.0
3.24,1.225617e-05,1295958000.0,2334.256943,0.0
3.25,1.223278e-05,1290733000.0,2334.121681,0.0
3.2600000000000002,1.220976e-05,1285548000.0,2333.987014,0.0
3.27,1.218712e-05,1280395000.0,2333.85292,0.0
3.2800000000000002,1.216486e-05,1275280000.0,2333.719382,0.0
3.29,1.2143e-05,1270196000.0,2333.586379,0.0
3.3000000000000003,1.212152e-05,1265147000.0,2333.453895,0.0
3.31,1.210043e-05,1260128000.0,2333.321914,0.0
3.3200000000000003,1.207975e-05,1255140000.0,2333.190419,0.0
3.33,1.205946e-05,1250182000.0,2333.059396,0.0
3.34,1.203957e-05,1245255000.0,2332.928831,0.0
3.35,1.202008e-05,1240356000.0,2332.79871,0.0
3.36,1.2001e-05,1235486000.0,2332.66902,0.0
3.37,1.198232e-05,1230644000.0,2332.53975,0.0
3.38,1.196404e-05,1225829000.0,2332.410889,0.0
3.39,1.194618e-05,1221041000.0,2332.282425,0.0
3.4,1.192872e-05,1216280000.0,2332.154347,0.0
3.41,1.191166e-05,1211544000.0,2332.026647,0.0
3.42,1.189502e-05,1206831000.0,2331.899315,0.0
3.43,1.187878e-05,1202146000.0,2331.772342,0.0
3.44,1.186295e-05,1197481000.0,2331.645719,0.0
3.45,1.184753e-05,1192845000.0,2331.51944,0.0
3.46,1.183252e-05,1188228000.0,2331.393495,0.0
3.47,1.181791e-05,1183638000.0,2331.267879,0.0
3.48,1.180371e-05,1179067000.0,2331.142583,0.0
3.49,1.178991e-05,1174522000.0,2331.017602,0.0
3.5,1.177652e-05,1169997000.0,2330.892929,0.0
3.5100000000000002,1.176354e-05,1165493000.0,2330.768559,0.0
3.52,1.175096e-05,1161011000.0,2330.644486,0.0
3.5300000000000002,1.173878e-05,1156553000.0,2330.520704,0.0
3.54,1.172701e-05,1152113000.0,2330.397208,0.0
3.5500000000000003,1.171563e-05,1147694000.0,2330.273995,0.0
3.56,1.170466e-05,1143295000.0,2330.151058,0.0
3.5700000000000003,1.169408e-05,1138917000.0,2330.028394,0.0
3.58,1.168391e-05,1134557000.0,2329.905998,0.0
3.59,1.167413e-05,1130219000.0,2329.783867,0.0
3.6,1.166474e-05,1125899000.0,2329.661996,0.0
3.61,1.165576e-05,1121599000.0,2329.540383,0.0
3.62,1.164716e-05,1117314000.0,2329.419023,0.0
3.63,1.163895e-05,1113052000.0,2329.297913,0.0
3.64,1.163114e-05,1108808000.0,2329.177051,0.0
3.65,1.162372e-05,1104582000.0,2329.056433,0.0
3.66,1.161668e-05,1100372000.0,2328.936056,0.0
3.67,1.161003e-05,1096183000.0,2328.815918,0.0
3.68,1.160377e-05,1092012000.0,2328.696017,0.0
3.69,1.159789e-05,1087855000.0,2328.576348,0.0
3.7,1.159239e-05,1083720000.0,2328.456911,0.0
3.71,1.158728e-05,1079598000.0,2328.337703,0.0
3.72,1.158255e-05,1075496000.0,2328.218722,0.0
3.73,1.15782e-05,1071409000.0,2328.099966,0.0
3.74,1.157422e-05,1067342000.0,2327.981433,0.0
3.75,1.157062e-05,1063289000.0,2327.86312,0.0
3.7600000000000002,1.15674e-05,1059252000.0,2327.745027,0.0
3.77,1.156455e-05,1055235000.0,2327.627151,0.0
3.7800000000000002,1.156208e-05,1051231000.0,2327.509491,0.0
3.79,1.155998e-05,1047243000.0,2327.392046,0.0
3.8000000000000003,1.155825e-05,1043272000.0,2327.274813,0.0
3.81,1.155689e-05,1039320000.0,2327.157791,0.0
3.8200000000000003,1.155589e-05,1035380000.0,2327.040979,0.0
3.83,1.155527e-05,1031457000.0,2326.924376,0.0
3.84,1.155501e-05,1027549000.0,2326.807981,0.0
3.85,1.155512e-05,1023657000.0,2326.691792,0.0
3.86,1.155559e-05,1019780000.0,2326.575807,0.0
3.87,1.155643e-05,1015919000.0,2326.460027,0.0
3.88,1.155763e-05,1012073000.0,2326.344449,0.0
3.89,1.155919e-05,1008242000.0,2326.229073,0.0
3.9,1.156111e-05,1004426000.0,2326.113899,0.0
3.91,1.15634e-05,1000625000.0,2325.998924,0.0
3.92,1.156604e-05,996838500.0,2325.884148,0.0
3.93,1.156904e-05,993064000.0,2325.76957,0.0
3.94,1.15724e-05,989307600.0,2325.65519,0.0
3.95,1.157612e-05,985564700.0,2325.541006,0.0
3.96,1.158019e-05,981838000.0,2325.427019,0.0
3.97,1.158462e-05,978121600.0,2325.313226,0.0
3.98,1.15894e-05,974422900.0,2325.199628,0.0
3.99,1.159454e-05,970737400.0,2325.086223,0.0
4.0,1.160003e-05,967064600.0,2324.973012,0.0
4.01,1.160587e-05,963408500.0,2324.859992,0.0
4.0200000000000005,1.161208e-05,959762300.0,2324.747165,0.0
4.03,1.161854e-05,956137300.0,2324.634539,0.0
4.04,1.162549e-05,952522000.0,2324.522091,0.0
4.05,1.163275e-05,948916700.0,2324.409834,0.0
4.0600000000000005,1.164037e-05,945330000.0,2324.297768,0.0
4.07,1.164833e-05,941753100.0,2324.185891,0.0
4.08,1.165665e-05,938188600.0,2324.074203,0.0
4.09,1.166531e-05,934643000.0,2323.962704,0.0
4.1,1.167432e-05,931106500.0,2323.851392,0.0
4.11,1.168369e-05,927582500.0,2323.740268,0.0
4.12,1.169339e-05,924076300.0,2323.629332,0.0
4.13,1.170345e-05,920579800.0,2323.518581,0.0
4.14,1.171387e-05,917095900.0,2323.408018,0.0
4.15,1.172463e-05,913629700.0,2323.29764,0.0
4.16,1.173574e-05,910171200.0,2323.187448,0.0
4.17,1.17472e-05,906727700.0,2323.077441,0.0
4.18,1.175901e-05,903296300.0,2322.967618,0.0
4.19,1.177117e-05,899877400.0,2322.857981,0.0
4.2,1.178369e-05,896471200.0,2322.748528,0.0
4.21,1.179655e-05,893076100.0,2322.639259,0.0
4.22,1.180977e-05,889699200.0,2322.530173,0.0
4.23,1.182334e-05,886330700.0,2322.421271,0.0
4.24,1.183726e-05,882975300.0,2322.312552,0.0
4.25,1.185154e-05,879631000.0,2322.204016,0.0
4.26,1.186616e-05,876299600.0,2322.095663,0.0
4.2700000000000005,1.188115e-05,872980800.0,2321.987492,0.0
4.28,1.189649e-05,869671200.0,2321.879503,0.0
4.29,1.191217e-05,866375300.0,2321.771697,0.0
4.3,1.192822e-05,863092500.0,2321.664072,0.0
4.3100000000000005,1.194462e-05,859823200.0,2321.556629,0.0
4.32,1.196138e-05,856563700.0,2321.449368,0.0
4.33,1.19785e-05,853318000.0,2321.342287,0.0
4.34,1.199599e-05,850082800.0,2321.235388,0.0
4.3500000000000005,1.201382e-05,846856900.0,2321.12867,0.0
4.36,1.203201e-05,843643800.0,2321.022132,0.0
4.37,1.205057e-05,840445900.0,2320.915775,0.0
4.38,1.20695e-05,837253000.0,2320.809599,0.0
4.39,1.208878e-05,834078200.0,2320.703602,0.0
4.4,1.210843e-05,830913500.0,2320.597786,0.0
4.41,1.212846e-05,827756900.0,2320.49215,0.0
4.42,1.214883e-05,824614400.0,2320.386694,0.0
4.43,1.216956e-05,821483400.0,2320.281418,0.0
4.44,1.219063e-05,818364100.0,2320.176322,0.0
4.45,1.221207e-05,815255300.0,2320.071406,0.0
4.46,1.223388e-05,812157500.0,2319.966668,0.0
4.47,1.225607e-05,809070900.0,2319.86211,0.0
4.48,1.227832e-05,805996600.0,2319.757735,0.0
4.49,1.230121e-05,802934800.0,2319.653536,0.0
4.5,1.232449e-05,799883600.0,2319.549514,0.0
