_RAJ2000;_DEJ2000;ID;Bmag;e_Bmag;Vmag;e_Vmag;Imag;e_Imag
322.50075;+12.10689;5019244;21.083; 0.023;20.434; 0.029;19.693; 0.034
322.50083;+12.13531;5019245;21.708; 0.036;20.865; 0.033;20.086; 0.049
322.50092;+12.15856;5019247;18.433; 0.020;17.705; 0.020;16.974; 0.022
322.50117;+12.22703;5019248;21.157; 0.010;20.565; 0.013;19.789; 0.021
322.50079;+12.12039;5019250;21.837; 0.024;21.054; 0.024;20.163; 0.034
322.50083;+12.13242;5019251;22.053; 0.045;21.503; 0.053;20.597; 0.057
322.50083;+12.13089;5019255;21.696; 0.031;21.059; 0.025;20.203; 0.034
322.50092;+12.16031;5019256;19.315; 0.064;19.590; 0.038;18.338; 0.063
322.50112;+12.21764;5019257;21.192; 0.014;20.657; 0.016;19.899; 0.029
322.50075;+12.11881;5019258;20.933; 0.017;20.498; 0.021;19.705; 0.030
322.50079;+12.12900;5019259;21.322; 0.028;20.699; 0.025;19.895; 0.034
322.50096;+12.18000;5019261;15.974; 0.005;15.085; 0.007;14.012; 0.006
322.50075;+12.12125;5019262;22.017; 0.035;21.223; 0.034;20.351; 0.039
322.50100;+12.19125;5019263;19.458; 0.018;19.165; 0.022;18.324; 0.028
322.50096;+12.17836;5019264;20.108; 0.017;19.776; 0.024;18.980; 0.031
322.50117;+12.24025;5019265;15.817; 0.002;15.086; 0.002;14.169; 0.003
322.50112;+12.23303;5019267;21.287; 0.013;20.728; 0.013;19.971; 0.023
322.50092;+12.17567;5019271;20.342; 0.044;19.939; 0.054;19.227; 0.066
322.50083;+12.14556;5019272;20.116; 0.025;19.767; 0.031;19.075; 0.027
322.50125;+12.26722;5019273;21.471; 0.017;20.863; 0.020;19.980; 0.036
322.50104;+12.21142;5019277;22.129; 0.041;21.314; 0.032;20.442; 0.044
322.50096;+12.17628;5019278;19.264; 0.039;19.829; 0.042;18.818; 0.038
322.50112;+12.23858;5019279;19.847; 0.006;19.374; 0.007;18.714; 0.010
322.50092;+12.17589;5019280;20.386; 0.040;19.706; 0.020;18.937; 0.048
322.50092;+12.17956;5019281;18.599; 0.009;18.031; 0.011;17.217; 0.014
322.50079;+12.13386;5019282;19.847; 0.009;19.364; 0.009;18.649; 0.021
322.50092;+12.18303;5019283;20.078; 0.026;19.934; 0.029;18.797; 0.028
322.50096;+12.17728;5019284;20.125; 0.045;19.676; 0.037;18.901; 0.032
322.50067;+12.10928;5019285;21.346; 0.015;20.753; 0.013;20.002; 0.023
322.50096;+12.19011;5019286;20.228; 0.027;19.723; 0.028;19.132; 0.031
322.50100;+12.20497;5019288;21.300; 0.016;20.734; 0.018;19.969; 0.031
322.50046;+12.05083;5019289;21.415; 0.017;20.762; 0.019;19.982; 0.031
322.50121;+12.27386;5019290;21.804; 0.022;21.142; 0.023;20.321; 0.036
322.50100;+12.20961;5019291;20.996; 0.016;20.391; 0.018;19.618; 0.031
322.50087;+12.18022;5019292;15.935; 0.006;15.194; 0.007;14.215; 0.007
322.50092;+12.19322;5019293;20.710; 0.014;20.249; 0.013;19.508; 0.021
322.50092;+12.18814;5019295;21.022; 0.023;20.401; 0.027;19.685; 0.035
322.50096;+12.19872;5019296;19.742; 0.009;19.294; 0.009;18.623; 0.012
322.50075;+12.14044;5019298;20.930; 0.020;20.425; 0.017;19.660; 0.030
322.50087;+12.18169;5019299;20.285; 0.020;19.520; 0.050;18.387; 0.045
322.50100;+12.21503;5019301;20.426; 0.010;19.954; 0.013;19.340; 0.021
322.50075;+12.14533;5019302;20.290; 0.021;19.714; 0.027;19.074; 0.029
322.50100;+12.21058;5019304;20.999; 0.016;20.547; 0.024;19.869; 0.025
322.50096;+12.20631;5019305;21.757; 0.025;21.200; 0.028;20.483; 0.047
322.50083;+12.16358;5019306;19.109; 0.017;18.622; 0.041;17.553; 0.019
322.50100;+12.22525;5019307;20.425; 0.020;19.780; 0.019;19.092; 0.025
322.50087;+12.19281;5019309;20.172; 0.017;19.715; 0.013;19.029; 0.025
322.50058;+12.10458;5019310;21.371; 0.012;20.757; 0.014;19.977; 0.024
322.50087;+12.17917;5019311;19.215; 0.024;18.646; 0.020;18.059; 0.024
322.50092;+12.20800;5019312;20.722; 0.018;20.256; 0.021;19.627; 0.036
322.50071;+12.14078;5019313;21.199; 0.020;20.710; 0.022;19.769; 0.031
322.50075;+12.15592;5019314;18.750; 0.030;18.520; 0.020;17.796; 0.021
322.50121;+12.29056;5019315;22.035; 0.028;21.221; 0.025;20.396; 0.048
322.50092;+12.20117;5019316;21.290; 0.022;20.892; 0.026;20.184; 0.040
322.50083;+12.18542;5019317;18.636; 0.009;18.159; 0.011;17.388; 0.012
322.50087;+12.18650;5019318;20.140; 0.017;20.025; 0.043;18.885; 0.023
322.50083;+12.17867;5019319;20.219; 0.018;19.824; 0.022;18.810; 0.027
322.50067;+12.13711;5019321;21.561; 0.036;20.818; 0.026;20.002; 0.054
322.50046;+12.07022;5019324;21.889; 0.030;21.171; 0.034;20.265; 0.037
322.50083;+12.18314;5019325;20.012; 0.036;20.413; 0.050;18.219; 0.055
322.50062;+12.12683;5019326;20.040; 0.017;19.685; 0.020;18.520; 0.034
322.50054;+12.10617;5019327;21.815; 0.019;21.086; 0.021;20.339; 0.031
322.50121;+12.29856;5019328;21.305; 0.018;20.674; 0.019;20.023; 0.033
322.50112;+12.27014;5019329;19.608; 0.007;19.011; 0.007;18.335; 0.012
322.50067;+12.14506;5019330;20.750; 0.032;20.219; 0.038;19.570; 0.066
322.50079;+12.17133;5019331;18.156; 0.022;20.096; 0.035;17.102; 0.026
322.50083;+12.17525;5019332;18.599; 0.026;18.348; 0.043;16.868; 0.015
322.50083;+12.20086;5019337;20.113; 0.011;19.613; 0.014;18.953; 0.025
322.50079;+12.19242;5019339;21.278; 0.036;20.823; 0.029;19.836; 0.049
322.50067;+12.13853;5019340;21.743; 0.031;21.270; 0.039;20.334; 0.059
322.50067;+12.14347;5019341;21.113; 0.027;20.562; 0.026;19.855; 0.040
322.50062;+12.13128;5019342;21.426; 0.020;20.810; 0.020;20.080; 0.040
322.50067;+12.14878;5019343;18.833; 0.007;18.191; 0.012;17.307; 0.013
322.50062;+12.14672;5019344;21.686; 0.047;21.096; 0.049;20.343; 0.059
322.50071;+12.16764;5019345;19.167; 0.034;18.842; 0.039;18.172; 0.042
322.50037;+12.06217;5019346;22.009; 0.036;21.364; 0.036;20.478; 0.049
322.50133;+12.34808;5019347;17.920; 0.004;17.238; 0.004;16.514; 0.007
322.50050;+12.10008;5019348;21.543; 0.016;20.895; 0.014;20.119; 0.027
322.50054;+12.11594;5019349;21.893; 0.027;21.246; 0.035;20.502; 0.045
322.50079;+12.19261;5019350;19.662; 0.012;19.277; 0.012;18.519; 0.017
322.50067;+12.14550;5019351;20.309; 0.032;19.680; 0.044;18.942; 0.032
322.50075;+12.18472;5019352;20.134; 0.050;19.673; 0.036;19.122; 0.039
322.50058;+12.12528;5019353;22.262; 0.052;21.506; 0.041;20.325; 0.062
322.50071;+12.16742;5019355;17.734; 0.013;17.157; 0.010;16.291; 0.009
322.50075;+12.18517;5019356;19.326; 0.010;18.791; 0.013;18.015; 0.014
322.50075;+12.18258;5019357;20.108; 0.012;19.573; 0.014;18.672; 0.023
322.50062;+12.14222;5019358;21.898; 0.043;21.222; 0.039;20.204; 0.055
322.50121;+12.31486;5019360;21.190; 0.017;20.560; 0.013;19.821; 0.034
322.50079;+12.19394;5019362;19.175; 0.007;18.735; 0.009;17.947; 0.013
322.50079;+12.19661;5019364;20.742; 0.013;20.264; 0.025;19.476; 0.042
322.50046;+12.09525;5019365;22.096; 0.021;21.316; 0.022;20.485; 0.038
322.50087;+12.22525;5019369;19.500; 0.009;19.171; 0.014;18.509; 0.015
322.50067;+12.17119;5019370;18.047; 0.011;17.345; 0.013;16.518; 0.012
322.50054;+12.13206;5019371;21.348; 0.027;20.807; 0.026;20.130; 0.043
322.50071;+12.19169;5019373;20.333; 0.014;19.721; 0.014;18.871; 0.019
322.50071;+12.17722;5019375;19.847; 0.050;19.474; 0.034;18.724; 0.043
322.50054;+12.13811;5019376;21.598; 0.029;21.012; 0.027;20.308; 0.051
322.50071;+12.19092;5019377;19.659; 0.017;19.220; 0.018;18.542; 0.018
322.50075;+12.20525;5019378;21.971; 0.035;21.281; 0.024;20.293; 0.034
322.50075;+12.20433;5019379;19.949; 0.011;19.511; 0.011;18.814; 0.015
322.50037;+12.09733;5019380;22.538; 0.033;21.706; 0.033;21.203; 0.065
322.50087;+12.24294;5019381;21.788; 0.018;21.091; 0.017;20.285; 0.027
322.50079;+12.22206;5019382;21.723; 0.018;21.242; 0.017;20.430; 0.036
322.50042;+12.11981;5019385;21.663; 0.022;21.122; 0.025;20.196; 0.039
322.50046;+12.11889;5019386;22.530; 0.062;21.561; 0.039;20.741; 0.058
322.50058;+12.16147;5019387;17.690; 0.012;17.205; 0.020;16.458; 0.024
322.50079;+12.22664;5019389;21.261; 0.013;20.693; 0.015;19.838; 0.021
322.50050;+12.14922;5019390;20.124; 0.023;19.495; 0.023;18.542; 0.039
322.50062;+12.18550;5019392;19.855; 0.020;19.319; 0.022;18.524; 0.035
322.50071;+12.21028;5019393;20.662; 0.012;20.174; 0.015;19.534; 0.025
322.50079;+12.22908;5019394;20.989; 0.010;20.444; 0.012;19.649; 0.016
322.50087;+12.25242;5019395;20.522; 0.009;19.972; 0.010;19.250; 0.018
322.50067;+12.19358;5019396;19.402; 0.007;18.957; 0.009;18.212; 0.013
322.50058;+12.16400;5019397;19.866; 0.028;19.369; 0.054;18.342; 0.056
322.50042;+12.12167;5019398;21.644; 0.028;20.909; 0.026;19.931; 0.030
322.50075;+12.22336;5019399;21.246; 0.012;20.701; 0.015;19.993; 0.025
322.50054;+12.15450;5019400;19.856; 0.020;19.639; 0.027;18.559; 0.039
322.50062;+12.18350;5019401;20.190; 0.021;19.336; 0.028;18.548; 0.051
322.50033;+12.10156;5019403;22.376; 0.030;21.608; 0.030;20.603; 0.043
322.50062;+12.18992;5019404;16.334; 0.004;15.800; 0.007;14.965; 0.006
322.50079;+12.23883;5019405;17.407; 0.002;16.646; 0.002;15.694; 0.003
322.50067;+12.20269;5019409;21.618; 0.045;20.910; 0.032;20.005; 0.031
322.49967;+11.90478;5019411;20.213; 0.035;19.626; 0.033;18.989; 0.058
322.50008;+12.03111;5019412;21.946; 0.035;21.235; 0.028;20.368; 0.045
322.50075;+12.23039;5019415;21.797; 0.017;21.234; 0.021;20.447; 0.032
322.50046;+12.14408;5019417;21.407; 0.032;20.789; 0.034;20.181; 0.063
322.50058;+12.19053;5019420;20.980; 0.055;20.605; 0.031;19.907; 0.049
322.50112;+12.34119;5019421;22.121; 0.030;21.437; 0.030;20.558; 0.056
